episode,step,t,target_x,target_y,target_z,q1,q2,q3,q4,q5_claw,ee_x,ee_y,ee_z
0,29,0.29,0.001239863654,-0.3064890104,0.3177311151,-0.0217368491,-0.01522125676,0.01761846431,0.02060898766,9.016515605e-07,0.3005938828,-0.006534983404,0.2418190688
0,30,0.3,0.001239863654,-0.3064890104,0.3177311151,-0.02378284186,-0.01641456969,0.01939236745,0.02247034945,9.25560812e-07,0.3007369637,-0.007153671235,0.242149502
0,31,0.31,0.001239863654,-0.3064890104,0.3177311151,-0.0259361621,-0.01766817085,0.02125023864,0.0244171638,9.482180303e-07,0.3008852303,-0.007805524394,0.2424937338
0,32,0.32,0.001239863654,-0.3064890104,0.3177311151,-0.02819775976,-0.01898251288,0.02319222502,0.02644947544,9.696479992e-07,0.3010382056,-0.008490820415,0.2428520024
0,33,0.33,0.001239863654,-0.3064890104,0.3177311151,-0.03056848422,-0.02035799436,0.02521842346,0.02856726758,9.898772078e-07,0.3011957407,-0.009209885262,0.243223846
0,34,0.34,0.001239863654,-0.3064890104,0.3177311151,-0.03304909542,-0.0217949599,0.02732887678,0.03077047877,1.008934419e-06,0.3013574481,-0.009963057004,0.2436093539
0,35,0.35,0.001239863654,-0.3064890104,0.3177311151,-0.03564026952,-0.02329370938,0.02952356823,0.03305900469,1.026849645e-06,0.3015230298,-0.01075077895,0.2440083474
0,36,0.36,0.001239863654,-0.3064890104,0.3177311151,-0.03834260255,-0.02485449426,0.0318024382,0.03543268889,1.043653697e-06,0.3016921282,-0.01157325692,0.2444206178
0,37,0.37,0.001239863654,-0.3064890104,0.3177311151,-0.04115660489,-0.02647752501,0.03416538984,0.03789133951,1.05937761e-06,0.301864326,-0.01243069768,0.2448458076
0,38,0.38,0.001239863654,-0.3064890104,0.3177311151,-0.04408271983,-0.02816296741,0.03661227599,0.04043472931,1.074052648e-06,0.3020392954,-0.01332328934,0.2452840358
0,39,0.39,0.001239863654,-0.3064890104,0.3177311151,-0.04712130874,-0.02991095185,0.03914291784,0.04306260496,1.087709848e-06,0.3022165298,-0.01425141376,0.2457351387
0,40,0.4,0.001239863654,-0.3064890104,0.3177311151,-0.05027266592,-0.03172156215,0.04175709188,0.045774661,1.100380132e-06,0.3023957014,-0.01521491632,0.2461987138
0,41,0.41,0.001239863654,-0.3064890104,0.3177311151,-0.0535370335,-0.03359485418,0.04445455596,0.04857057706,1.1120934e-06,0.3025761843,-0.01621446572,0.2466748804
0,42,0.42,0.001239863654,-0.3064890104,0.3177311151,-0.05691456795,-0.03553085029,0.04723501578,0.05144999549,1.122878643e-06,0.3027575314,-0.01724988967,0.2471631914
0,43,0.43,0.001239863654,-0.3064890104,0.3177311151,-0.06040538102,-0.03752953187,0.05009815842,0.05441253632,1.132764282e-06,0.3029393554,-0.01832151972,0.2476634681
0,44,0.44,0.001239863654,-0.3064890104,0.3177311151,-0.06400951743,-0.0395908542,0.05304364115,0.05745778605,1.14177783e-06,0.3031210005,-0.01942915097,0.2481756955
0,45,0.45,0.001239863654,-0.3064890104,0.3177311151,-0.06772696227,-0.04171474651,0.05607108772,0.06058532745,1.149945433e-06,0.3033019602,-0.02057313174,0.2486996651
0,46,0.46,0.001239863654,-0.3064890104,0.3177311151,-0.07157091796,-0.04390110075,0.05918010324,0.06379468739,1.167273695e-06,0.3034814298,-0.02175761759,0.2492350638
0,47,0.47,0.001239863654,-0.3064890104,0.3177311151,-0.07557291538,-0.04614979029,0.06237026677,0.06708540767,1.211050972e-06,0.3036580086,-0.02299214341,0.2497815639
0,48,0.48,0.001239863654,-0.3064890104,0.3177311151,-0.07975433767,-0.04846066236,0.06564112753,0.07045697421,1.275307682e-06,0.3038303554,-0.02428324893,0.2503392994
0,49,0.49,0.001239863654,-0.3064890104,0.3177311151,-0.08411873877,-0.05083353445,0.06899221987,0.073908858,1.34476943e-06,0.3039975166,-0.0256322287,0.2509078979
0,50,0.5,0.001239863654,-0.3064890104,0.3177311151,-0.08866278082,-0.05326820537,0.07242304832,0.07744054496,1.409170409e-06,0.3041586876,-0.02703836747,0.2514870167
0,51,0.51,0.001239863654,-0.3064890104,0.3177311151,-0.09338068962,-0.055764433,0.07593309134,0.08105145395,1.463644367e-06,0.3043130338,-0.02849970199,0.252076596
0,52,0.52,0.001239863654,-0.3064890104,0.3177311151,-0.09826606512,-0.05832196027,0.07952181995,0.08474102616,1.506737476e-06,0.3044597507,-0.03001460247,0.2526763976
0,53,0.53,0.001239863654,-0.3064890104,0.3177311151,-0.1033126265,-0.06094051898,0.08318869025,0.08850866556,1.538755782e-06,0.3045980334,-0.03158118576,0.2532861531
0,54,0.54,0.001239863654,-0.3064890104,0.3177311151,-0.108514443,-0.06361980736,0.08693311363,0.09235373884,1.56076851e-06,0.3047271967,-0.03319763392,0.2539055943
0,55,0.55,0.001239863654,-0.3064890104,0.3177311151,-0.1138660088,-0.06635951251,0.09075450897,0.09627562761,1.574091243e-06,0.3048463464,-0.0348623842,0.2545346916
0,56,0.56,0.001239863654,-0.3064890104,0.3177311151,-0.1193622649,-0.06915928423,0.09465226531,0.1002736911,1.58003445e-06,0.304954648,-0.03657384962,0.2551731765
0,57,0.57,0.001239863654,-0.3064890104,0.3177311151,-0.124998562,-0.07201876491,0.0986257568,0.1043472737,1.579803325e-06,0.3050513864,-0.03833077103,0.2558206916
0,58,0.58,0.001239863654,-0.3064890104,0.3177311151,-0.1307705939,-0.07493758947,0.1026743427,0.1084956899,1.574460498e-06,0.3051357269,-0.04013166949,0.2564769089
0,59,0.59,0.001239863654,-0.3064890104,0.3177311151,-0.1366744041,-0.07791535556,0.1067973599,0.1127182543,1.564924105e-06,0.3052068055,-0.04197550938,0.2571417987
0,60,0.6,0.001239863654,-0.3064890104,0.3177311151,-0.1427063048,-0.08095165342,0.1109941378,0.1170142591,1.551976993e-06,0.3052639067,-0.04386119917,0.2578149438
0,61,0.61,0.001239863654,-0.3064890104,0.3177311151,-0.1488629133,-0.08404605836,0.1152639762,0.121382989,1.536280934e-06,0.3053060472,-0.0457874015,0.2584964037
0,62,0.62,0.001239863654,-0.3064890104,0.3177311151,-0.1551410407,-0.08719813824,0.119606182,0.1258237064,1.518391628e-06,0.3053326011,-0.04775328934,0.2591853738
0,63,0.63,0.001239863654,-0.3064890104,0.3177311151,-0.1615377367,-0.09040742368,0.1240200251,0.1303356588,1.498772349e-06,0.305342555,-0.04975792766,0.2598821223
0,64,0.64,0.001239863654,-0.3064890104,0.3177311151,-0.168050155,-0.09367343783,0.1285047829,0.1349180639,1.477808041e-06,0.3053351939,-0.05180012435,0.2605861723
0,65,0.65,0.001239863654,-0.3064890104,0.3177311151,-0.174675703,-0.09699570388,0.1330596954,0.1395701766,1.455816118e-06,0.3053095639,-0.05387927219,0.2612972856
0,66,0.66,0.001239863654,-0.3064890104,0.3177311151,-0.1814119071,-0.1003737003,0.1376839876,0.1442912072,1.4330559e-06,0.3052650094,-0.055994194,0.2620152831
0,67,0.67,0.001239863654,-0.3064890104,0.3177311151,-0.1882563978,-0.1038069203,0.1423769146,0.149080351,1.409736683e-06,0.305200547,-0.05814431235,0.2627398372
0,68,0.68,0.001239863654,-0.3064890104,0.3177311151,-0.1952069253,-0.1072948352,0.1471376717,0.1539368033,1.386026952e-06,0.3051154315,-0.0603287667,0.2634707093
0,69,0.69,0.001239863654,-0.3064890104,0.3177311151,-0.2022613287,-0.1108369008,0.1519654542,0.1588597149,1.362059152e-06,0.3050087392,-0.06254665554,0.2642075419
0,70,0.7,0.001239863654,-0.3064890104,0.3177311151,-0.209417522,-0.1144325659,0.1568594277,0.1638482809,1.337938443e-06,0.3048797846,-0.0647970885,0.2649502158
0,71,0.71,0.001239863654,-0.3064890104,0.3177311151,-0.2166735232,-0.1180812567,0.1618187875,0.1689016223,1.313743383e-06,0.3047276139,-0.06707930565,0.2656983435
0,72,0.72,0.001239863654,-0.3064890104,0.3177311151,-0.2240273952,-0.1217823997,0.1668426841,0.1740188897,1.289533316e-06,0.3045515716,-0.06939253956,0.2664515972
0,73,0.73,0.001239863654,-0.3064890104,0.3177311151,-0.2314772904,-0.1255353838,0.1719302833,0.1791992188,1.265347237e-06,0.304350704,-0.07173600793,0.2672097981
0,74,0.74,0.001239863654,-0.3064890104,0.3177311151,-0.2390213758,-0.1293396205,0.1770807207,0.1844417155,1.24121118e-06,0.3041242659,-0.07410885394,0.2679725587
0,75,0.75,0.001239863654,-0.3064890104,0.3177311151,-0.2466578633,-0.1331944764,0.1822931021,0.1897454709,1.217140266e-06,0.303871572,-0.07651018351,0.2687397599
0,76,0.76,0.001239863654,-0.3064890104,0.3177311151,-0.2543849647,-0.1370993406,0.1875665486,0.1951096058,1.193138701e-06,0.3035916984,-0.0789392814,0.269511044
0,77,0.77,0.001239863654,-0.3064890104,0.3177311151,-0.262201041,-0.1410535574,0.1929001659,0.2005331814,1.169204552e-06,0.3032839298,-0.08139527589,0.2702861428
0,78,0.78,0.001239863654,-0.3064890104,0.3177311151,-0.2701043785,-0.1450564861,0.1982930452,0.2060153037,1.145328156e-06,0.3029476404,-0.0838772282,0.2710646391
0,79,0.79,0.001239863654,-0.3064890104,0.3177311151,-0.2780932784,-0.149107486,0.2037442774,0.2115550041,1.12149587e-06,0.3025818467,-0.08638436347,0.2718464732
